1
3
Player 1,100
Player 2,250
Player 3,851
52
Four,Hearts
Nine,Spades
Nine,Diamonds
Six,Clubs
Ace,Diamonds
Five,Spades
Ten,Hearts
Ace,Clubs
Ten,Diamonds
Three,Diamonds
Ten,Hearts
Four,Clubs
Six,Spades
Ten,Diamonds
Ten,Clubs
Ten,Spades
Five,Hearts
Three,Spades
Ace,Spades
Eight,Diamonds
Nine,Hearts
Five,Clubs
Ten,Clubs
Eight,Hearts
Ten,Spades
Two,Spades
Six,Hearts
Ace,Hearts
Nine,Clubs
Ten,Clubs
Three,Hearts
Ten,Diamonds
Ten,Diamonds
Ten,Spades
Eight,Spades
Six,Diamonds
Two,Diamonds
Seven,Diamonds
Seven,Spades
Ten,Hearts
Two,Hearts
Eight,Clubs
Seven,Hearts
Ten,Spades
Ten,Hearts
Four,Diamonds
Four,Spades
Two,Clubs
Three,Clubs
Seven,Clubs
Five,Diamonds
Ten,Clubs
