1
4
John,9641
Dave,72
Doe,39165
Bob,36797
52
Eight,Clubs
Eight,Hearts
Two,Clubs
Three,Diamonds
Two,Hearts
Five,Spades
Five,Clubs
Ace,Clubs
Six,Diamonds
Nine,Diamonds
Ten,Clubs
Nine,Spades
Ace,Spades
Six,Clubs
Ten,Clubs
Seven,Spades
Three,Hearts
Ten,Spades
Seven,Clubs
Ten,Clubs
Five,Hearts
Nine,Hearts
Ten,Hearts
Six,Spades
Ten,Spades
Ace,Hearts
Ten,Spades
Ten,Diamonds
Five,Diamonds
Three,Clubs
Ten,Diamonds
Ten,Hearts
Seven,Diamonds
Seven,Hearts
Four,Hearts
Ten,Spades
Four,Spades
Ten,Clubs
Six,Hearts
Four,Diamonds
Ten,Hearts
Ten,Diamonds
Two,Spades
Ten,Hearts
Ten,Diamonds
Nine,Clubs
Ace,Diamonds
Three,Spades
Four,Clubs
Eight,Diamonds
Eight,Spades
Two,Diamonds
