1
2
Doe,309
Dave,35985
52
Ten,Spades
Four,Hearts
Two,Diamonds
Seven,Clubs
Six,Spades
Eight,Hearts
Three,Hearts
Ace,Clubs
Seven,Diamonds
Six,Hearts
Ten,Clubs
Two,Spades
Eight,Clubs
Ten,Hearts
Six,Diamonds
Eight,Spades
Ten,Spades
Six,Clubs
Ten,Diamonds
Three,Clubs
Ten,Diamonds
Eight,Diamonds
Three,Diamonds
Four,Spades
Five,Hearts
Ten,Clubs
Ten,Clubs
Ace,Hearts
Ace,Diamonds
Four,Clubs
Ten,Diamonds
Two,Clubs
Four,Diamonds
Five,Diamonds
Ten,Hearts
Ten,Hearts
Ten,Spades
Ten,Diamonds
Seven,Spades
Nine,Spades
Ten,Clubs
Ten,Spades
Five,Clubs
Seven,Hearts
Two,Hearts
Ten,Hearts
Nine,Clubs
Three,Spades
Nine,Diamonds
Five,Spades
Nine,Hearts
Ace,Spades
