2
2
John,10250
Alice,4750
52
Five,Clubs
Ten,Clubs
Ten,Hearts
Ace,Spades
Nine,Diamonds
Ten,Spades
Four,Hearts
Ace,Clubs
Six,Hearts
Seven,Diamonds
Two,Diamonds
Seven,Spades
Ten,Spades
Ten,Spades
Ten,Hearts
Ten,Hearts
Six,Clubs
Three,Spades
Ten,Diamonds
Ten,Diamonds
Four,Clubs
Six,Diamonds
Five,Diamonds
Four,Spades
Ten,Clubs
Ten,Spades
Eight,Hearts
Seven,Hearts
Ace,Diamonds
Five,Spades
Ten,Hearts
Four,Diamonds
Six,Spades
Ten,Clubs
Eight,Clubs
Seven,Clubs
Ten,Diamonds
Three,Hearts
Five,Hearts
Ten,Clubs
Eight,Diamonds
Three,Diamonds
Two,Hearts
Two,Clubs
Eight,Spades
Three,Clubs
Ace,Hearts
Nine,Hearts
Two,Spades
Nine,Clubs
Nine,Spades
Ten,Diamonds
