1
2
John,9500
Alice,49750
52
Seven,Diamonds
Nine,Spades
Ace,Clubs
Queen,Hearts
Seven,Hearts
Five,Clubs
Three,Clubs
Queen,Clubs
Eight,Spades
Nine,Diamonds
King,Clubs
Jack,Diamonds
Nine,Hearts
Three,Hearts
Four,Spades
Four,Clubs
Two,Hearts
Ten,Spades
Three,Diamonds
Six,Diamonds
Five,Spades
King,Spades
Eight,Diamonds
Ace,Hearts
Eight,Clubs
Eight,Hearts
Seven,Clubs
King,Hearts
Jack,Clubs
Six,Hearts
Ace,Diamonds
Two,Diamonds
Seven,Spades
Six,Spades
Four,Diamonds
Ten,Clubs
Nine,Clubs
King,Diamonds
Three,Spades
Jack,Spades
Queen,Spades
Six,Clubs
Five,Hearts
Jack,Hearts
Four,Hearts
Two,Spades
Ten,Hearts
Queen,Diamonds
Five,Diamonds
Two,Clubs
Ace,Spades
Ten,Diamonds
