1
3
33,233
44,394
55,505
52
King,Hearts
Ace,Hearts
Nine,Hearts
Three,Clubs
Nine,Diamonds
Two,Diamonds
Ten,Spades
King,Spades
Ten,Clubs
Eight,Clubs
Ace,Clubs
Four,Diamonds
Two,Clubs
Six,Hearts
Seven,Spades
Seven,Hearts
Jack,Hearts
King,Diamonds
King,Clubs
Eight,Diamonds
Seven,Diamonds
Six,Diamonds
Five,Clubs
Ten,Hearts
Three,Spades
Five,Spades
Five,Diamonds
Queen,Diamonds
Queen,Spades
Ace,Spades
Four,Spades
Eight,Spades
Five,Hearts
Jack,Diamonds
Four,Hearts
Three,Hearts
Queen,Hearts
Jack,Spades
Jack,Clubs
Four,Clubs
Eight,Hearts
Queen,Clubs
Ten,Diamonds
Seven,Clubs
Two,Spades
Two,Hearts
Six,Clubs
Nine,Clubs
Six,Spades
Three,Diamonds
Nine,Spades
Ace,Diamonds
