1
2
Talib,330
Halib,620
52
Two,Hearts
King,Spades
Seven,Diamonds
Seven,Hearts
Ace,Clubs
Five,Diamonds
Three,Clubs
Nine,Spades
Three,Diamonds
Jack,Clubs
Four,Diamonds
Ten,Diamonds
Five,Spades
Four,Hearts
Ten,Clubs
Ace,Diamonds
Nine,Hearts
Jack,Spades
Two,Clubs
Six,Diamonds
Six,Clubs
King,Diamonds
King,Hearts
Queen,Clubs
Eight,Clubs
Eight,Spades
Nine,Clubs
Ten,Hearts
Six,Hearts
Four,Clubs
Seven,Spades
Queen,Spades
Five,Hearts
Four,Spades
Ten,Spades
Ace,Hearts
Two,Diamonds
Six,Spades
Two,Spades
King,Clubs
Queen,Hearts
Queen,Diamonds
Five,Clubs
Jack,Diamonds
Eight,Diamonds
Seven,Clubs
Three,Spades
Jack,Hearts
Nine,Diamonds
Ace,Spades
Eight,Hearts
Three,Hearts
