12
2
Daniel,1950
Kyle,1150
52
Four,Diamonds
Ace,Clubs
Nine,Spades
Nine,Diamonds
Queen,Hearts
Queen,Spades
Five,Hearts
Four,Clubs
Seven,Spades
Ten,Spades
Five,Spades
Nine,Clubs
Three,Diamonds
Two,Hearts
Two,Diamonds
Six,Hearts
Seven,Hearts
Seven,Clubs
Three,Hearts
Seven,Diamonds
Six,Spades
King,Hearts
Nine,Hearts
Eight,Spades
Six,Clubs
Eight,Diamonds
Ace,Spades
King,Diamonds
Eight,Clubs
Ten,Clubs
Five,Diamonds
Ace,Hearts
Two,Spades
Eight,Hearts
Four,Hearts
Jack,Diamonds
King,Clubs
Two,Clubs
Ten,Diamonds
Five,Clubs
Jack,Clubs
Queen,Diamonds
Ace,Diamonds
Queen,Clubs
Four,Spades
Three,Spades
Ten,Hearts
Six,Diamonds
Jack,Spades
Three,Clubs
Jack,Hearts
King,Spades
