1
2
null,550
baller,30000
52
Six,Clubs
Ten,Hearts
Five,Spades
Nine,Diamonds
Ten,Diamonds
Ten,Hearts
Six,Hearts
Three,Diamonds
Three,Clubs
Ten,Hearts
Nine,Clubs
Two,Hearts
Ten,Diamonds
Ten,Spades
Four,Clubs
Five,Diamonds
Ten,Clubs
Ace,Spades
Ace,Diamonds
Two,Spades
Eight,Spades
Ten,Diamonds
Ten,Clubs
Five,Hearts
Ten,Hearts
Seven,Diamonds
Six,Diamonds
Four,Hearts
Four,Spades
Five,Clubs
Three,Hearts
Two,Clubs
Ace,Clubs
Seven,Hearts
Ten,Clubs
Eight,Diamonds
Nine,Hearts
Ten,Spades
Three,Spades
Ace,Hearts
Ten,Spades
Ten,Spades
Seven,Clubs
Two,Diamonds
Ten,Diamonds
Eight,Hearts
Four,Diamonds
Six,Spades
Nine,Spades
Eight,Clubs
Seven,Spades
Ten,Clubs
