1
2
John,9750
Alice,4500
52
Ten,Hearts
Ace,Spades
Three,Diamonds
Ace,Diamonds
Ten,Clubs
Nine,Hearts
Two,Hearts
Four,Hearts
Eight,Spades
Two,Spades
Four,Clubs
Three,Spades
Ten,Clubs
Seven,Clubs
Eight,Diamonds
Seven,Diamonds
Ten,Diamonds
Ten,Spades
Ten,Spades
Six,Clubs
Ten,Spades
Four,Spades
Ten,Hearts
Ten,Spades
Ten,Clubs
Eight,Hearts
Nine,Diamonds
Ten,Diamonds
Five,Clubs
Five,Diamonds
Three,Hearts
Ten,Hearts
Seven,Spades
Nine,Spades
Seven,Hearts
Six,Diamonds
Ten,Diamonds
Ace,Hearts
Four,Diamonds
Ten,Clubs
Ace,Clubs
Eight,Clubs
Five,Spades
Nine,Clubs
Ten,Diamonds
Two,Clubs
Six,Hearts
Five,Hearts
Two,Diamonds
Six,Spades
Ten,Hearts
Three,Clubs
