3
2
null,750
baller,50000
52
Eight,Hearts
Ten,Spades
Five,Clubs
Four,Hearts
Seven,Diamonds
Ten,Spades
Nine,Hearts
Nine,Spades
Six,Hearts
Ten,Diamonds
Five,Diamonds
Ten,Diamonds
Four,Diamonds
Ten,Clubs
Six,Spades
Ten,Clubs
Eight,Diamonds
Four,Clubs
Ten,Spades
Nine,Diamonds
Two,Hearts
Ten,Hearts
Two,Clubs
Ace,Hearts
Four,Spades
Seven,Hearts
Ace,Spades
Three,Hearts
Seven,Spades
Three,Diamonds
Three,Spades
Two,Diamonds
Eight,Clubs
Ten,Spades
Seven,Clubs
Two,Spades
Ten,Hearts
Ten,Hearts
Five,Spades
Six,Diamonds
Ace,Clubs
Ten,Clubs
Five,Hearts
Three,Clubs
Ten,Diamonds
Eight,Spades
Ten,Hearts
Ten,Diamonds
Ace,Diamonds
Six,Clubs
Nine,Clubs
Ten,Clubs
