5
2
null,250
baller,60500
52
Ten,Spades
Ace,Diamonds
Ten,Diamonds
Three,Hearts
Ten,Clubs
Ten,Diamonds
Four,Hearts
Ten,Diamonds
Ten,Hearts
Three,Clubs
Ace,Hearts
Ten,Hearts
Ten,Spades
Nine,Clubs
Ten,Clubs
Two,Diamonds
Four,Diamonds
Three,Spades
Eight,Hearts
Nine,Diamonds
Nine,Hearts
Five,Clubs
Seven,Clubs
Ten,Diamonds
Ten,Clubs
Ten,Spades
Eight,Clubs
Ten,Spades
Six,Clubs
Ten,Hearts
Five,Diamonds
Five,Spades
Ace,Spades
Ten,Hearts
Nine,Spades
Two,Hearts
Seven,Diamonds
Five,Hearts
Two,Spades
Four,Clubs
Eight,Diamonds
Six,Hearts
Two,Clubs
Six,Spades
Ace,Clubs
Six,Diamonds
Three,Diamonds
Eight,Spades
Seven,Spades
Ten,Clubs
Four,Spades
Seven,Hearts
