1
2
John,50
Alice,200
52
Seven,Spades
Two,Clubs
Nine,Clubs
King,Hearts
Ace,Hearts
Jack,Diamonds
Two,Spades
Seven,Clubs
Two,Hearts
Five,Hearts
Three,Hearts
Five,Clubs
Six,Diamonds
Five,Spades
Nine,Diamonds
Seven,Hearts
Ten,Diamonds
Six,Spades
King,Clubs
Ten,Clubs
Eight,Clubs
Queen,Hearts
Three,Diamonds
Eight,Spades
Eight,Diamonds
Queen,Spades
Seven,Diamonds
Four,Hearts
Three,Spades
Queen,Diamonds
Eight,Hearts
Queen,Clubs
King,Diamonds
Ace,Diamonds
Jack,Hearts
Two,Diamonds
Six,Clubs
Nine,Spades
Ten,Spades
Four,Clubs
Jack,Spades
Ace,Clubs
Ace,Spades
Four,Diamonds
Nine,Hearts
Five,Diamonds
King,Spades
Ten,Hearts
Four,Spades
Three,Clubs
Jack,Clubs
Six,Hearts
